### DATA:
#
# 913
#      Q             I(Q)           Error     
2.72358000E-01  1.35857437E-01  8.94092309E-02
2.72865000E-01  1.45973345E-01  6.06795595E-02
2.73371000E-01  8.82253512E-02  7.55922357E-02
2.73878000E-01  1.52220407E-01  9.10950879E-02
2.74385000E-01  1.99034788E-01  9.09272887E-02
2.74891000E-01  2.23113633E-01  6.31601507E-02
2.75398000E-01  1.27960176E-01  6.03299031E-02
2.75904000E-01  1.32394441E-01  7.09177558E-02
2.76411000E-01  1.25655603E-01  7.64894115E-02
2.76917000E-01  2.29402987E-01  6.09659683E-02
2.77424000E-01  6.24732071E-02  5.35377427E-02
2.77931000E-01  9.78693329E-02  5.90458141E-02
2.78437000E-01  9.01919975E-02  1.08511466E-01
2.78944000E-01  1.40503212E-01  1.04523866E-01
2.79450000E-01  9.31609406E-02  5.97904410E-02
2.79957000E-01  8.75786361E-02  5.99010711E-02
2.80464000E-01  1.60307469E-01  5.73407108E-02
2.80970000E-01  7.89266100E-02  6.95509100E-02
2.81477000E-01  1.38134779E-01  5.76152983E-02
2.81983000E-01  1.00307533E-01  8.73377753E-02
2.82490000E-01  1.02351588E-01  7.39079890E-02
2.82996000E-01  9.04944943E-02  6.52436210E-02
2.83503000E-01  1.43729211E-01  1.55896251E-01
2.84010000E-01  1.72095546E-01  1.32334598E-01
2.84516000E-01  1.79502997E-01  6.00352689E-02
2.85023000E-01  4.88265802E-02  5.70198466E-02
2.85529000E-01  1.16988486E-01  5.94375711E-02
2.86036000E-01  1.60103852E-01  2.19210692E-01
2.86542000E-01  1.58729828E-01  3.55591347E-02
2.87049000E-01  3.98249216E-02  6.01857115E-02
2.87556000E-01  6.19148651E-02  6.04294112E-02
2.88062000E-01  6.49164282E-02  5.65552486E-02
2.88569000E-01  7.32610131E-02  9.64950114E-02
2.89075000E-01  8.73687442E-02  1.17754686E-01
2.89582000E-01  1.62774508E-01  7.08575492E-02
2.90088000E-01  1.10293907E-01  4.88341141E-01
2.90595000E-01  1.07967258E-01  1.14270337E-01
2.91102000E-01  8.43329701E-02  6.45796451E-02
2.91608000E-01  5.72137752E-02  7.93320685E-02
2.92115000E-01  1.41816206E-01  4.71589854E-02
2.92621000E-01  1.56976639E-01  5.77531625E-01
2.93128000E-01  7.94116647E-02  1.76972561E-01
2.93634000E-01  1.03649716E-01  1.17967601E-01
2.94141000E-01  1.08571016E-01  9.53062905E-02
2.94647000E-01  1.73087650E-01  5.27493671E-02
2.95154000E-01  6.47102870E-02  6.67768461E-02
2.95661000E-01  1.29413816E-01  1.22595528E+00
2.96167000E-01  1.61750152E-01  9.15237149E-02
2.96674000E-01  1.01519627E-01  5.52971505E-02
2.97180000E-01  6.90405241E-02  4.94266111E-02
2.97687000E-01  1.07126865E-01  1.26164314E-01
2.98193000E-01  1.82899810E-01  7.10830971E-02
2.98700000E-01  1.05764661E-01  5.47606286E-02
2.99207000E-01  1.64114225E-01  5.35987710E-02
2.99713000E-01  1.18757283E-01  5.33110561E-02
3.00220000E-01  1.72629950E-01  7.94447064E-02
3.00726000E-01  1.05843342E-01  7.59310493E-02
3.01233000E-01  9.81574970E-02  6.44159423E-02
3.01739000E-01  1.17771251E-02  9.77520536E-02
3.02246000E-01  9.94610489E-02  5.53203159E-02
3.02752000E-01  7.92525500E-02  8.08719792E-02
3.03259000E-01  6.92962795E-02  5.80066697E-02
3.03765000E-01  -3.03419881E-03  5.23012025E-02
3.04272000E-01  1.17243699E-01  5.06721501E-02
3.04779000E-01  7.37787183E-02  1.50382381E-01
3.05285000E-01  1.54452471E-01  1.44935181E-01
3.05792000E-01  7.99827111E-02  1.02824625E-01
3.06298000E-01  3.94192528E-02  5.02408168E-02
3.06805000E-01  1.40085178E-01  5.31508425E-02
3.07311000E-01  6.07177574E-02  5.05863419E-02
3.07818000E-01  8.80084306E-02  8.00139537E-02
3.08324000E-01  1.08937201E-01  4.02640701E-02
3.08831000E-01  9.65026718E-02  7.24954842E-02
3.09337000E-01  1.13603721E-01  1.25223566E-01
3.09844000E-01  1.11240087E-01  3.13902418E-01
3.10350000E-01  -1.44093867E-02  4.51061940E-02
3.10857000E-01  1.26540428E-01  5.28339598E-02
3.11364000E-01  -6.84456895E-04  4.65059678E-02
3.11870000E-01  8.60689973E-02  1.53204189E-01
3.12377000E-01  7.48054093E-02  5.91992118E-02
3.12883000E-01  1.23033579E-01  1.37916617E+00
3.13390000E-01  7.96037704E-02  4.60731503E-02
3.13896000E-01  5.77631362E-03  4.73483756E-02
3.14403000E-01  4.62435794E-02  4.50082879E-02
3.14909000E-01  5.90695920E-02  4.62085607E-02
3.15416000E-01  5.30326463E-02  3.91976861E-02
3.15922000E-01  1.20350343E-01  6.72365575E-02
3.16429000E-01  1.15382650E-01  2.09869218E-01
3.16935000E-01  8.58746174E-02  5.10297714E-02
3.17442000E-01  7.82179513E-02  1.15560195E-01
3.17948000E-01  1.06278372E-01  5.09770597E-02
3.18455000E-01  4.84190355E-02  4.49283866E-02
3.18961000E-01  1.03542662E-01  6.89622293E-02
3.19468000E-01  1.43489497E-01  7.36944071E-02
3.19975000E-01  1.01581236E-01  4.63167342E-02
3.20481000E-01  4.00249286E-02  4.50650296E-02
3.20988000E-01  5.23803076E-02  1.42974372E-01
3.21494000E-01  8.76710776E-02  8.18633944E-02
3.22001000E-01  9.90619182E-02  4.94621340E-02
3.22507000E-01  8.56875387E-02  4.51065382E-02
3.23014000E-01  1.32485838E-01  5.89658081E-02
3.23520000E-01  1.01463705E-01  5.35541061E-02
3.24027000E-01  7.29653081E-02  4.58256981E-02
3.24533000E-01  3.70436290E-02  4.29945619E-02
3.25040000E-01  1.29136775E-01  4.14517986E-02
3.25546000E-01  1.37115808E-01  4.97210551E-02
3.26053000E-01  5.24086051E-02  6.42472441E-02
3.26559000E-01  6.30557494E-02  6.14765952E-02
3.27066000E-01  3.52886420E-02  4.40280575E-02
3.27572000E-01  5.52345812E-02  5.89788759E-02
3.28079000E-01  1.05021159E-01  4.39944534E-02
3.28585000E-01  1.11217415E-01  4.30076656E-02
3.29092000E-01  1.18756680E-01  3.64903740E-02
3.29598000E-01  7.52234839E-02  4.84035286E-02
3.30105000E-01  1.22309611E-01  4.17374266E-02
3.30611000E-01  3.46159459E-02  4.33185670E-02
3.31118000E-01  4.72977712E-02  5.13838595E-02
3.31624000E-01  1.20472481E-01  5.59785576E-02
3.32131000E-01  7.06392880E-02  3.87943489E-02
3.32637000E-01  3.94507503E-05  5.94800168E-02
3.33144000E-01  5.25915589E-02  5.48670000E-02
3.33650000E-01  1.21509980E-02  1.14936906E+00
3.34157000E-01  6.14426133E-02  7.00076509E-02
3.34663000E-01  2.31381276E-02  4.31697269E-02
3.35170000E-01  1.00367878E-01  5.03979355E-01
3.35676000E-01  6.87370423E-02  3.57714076E-02
3.36183000E-01  4.70323636E-02  5.01307076E-02
3.36689000E-01  6.15549871E-02  1.03437998E-01
3.37196000E-01  8.91649193E-02  9.03192262E-02
3.37702000E-01  1.27206527E-01  3.82866667E-02
3.38209000E-01  1.15217190E-01  3.80425098E-02
3.38715000E-01  4.37245599E-02  6.23872736E-02
3.39222000E-01  6.11553835E-02  4.52838435E-02
3.39728000E-01  7.69901523E-02  4.44219926E-02
3.40235000E-01  1.56008977E-01  1.51012556E-01
3.40741000E-01  8.99076319E-02  5.46180024E-02
3.41248000E-01  1.21709490E-01  3.42027336E-01
3.41754000E-01  1.34249333E-01  4.11697697E-02
3.42261000E-01  2.67491554E-02  5.48449177E-02
3.42767000E-01  1.26971675E-01  6.21441143E-02
3.43274000E-01  1.29022782E-01  4.53430761E-02
3.43780000E-01  1.22757914E-01  7.47168936E-02
3.44287000E-01  1.39350730E-01  4.13257635E-02
3.44793000E-01  6.85636327E-02  4.97781225E-02
3.45300000E-01  1.43138463E-01  9.26703758E-02
3.45806000E-01  4.05206259E-02  4.65950735E-02
3.46313000E-01  1.32363892E-01  4.44505982E-02
3.46819000E-01  5.04303047E-02  4.19241030E-02
3.47325000E-01  -1.55683061E-02  1.37056797E-01
3.47832000E-01  -3.03774476E-02  5.46701684E-02
3.48338000E-01  4.59564729E-02  4.91112893E-02
3.48845000E-01  4.98147058E-02  5.90101959E-02
3.49351000E-01  5.42187748E-02  9.72159964E-02
3.49858000E-01  9.34132444E-02  8.76220997E-02
3.50364000E-01  -3.93483475E-03  5.53935753E-02
3.50871000E-01  1.55644040E-01  7.09381546E-02
3.51377000E-01  9.72519366E-02  4.56414692E-02
3.51884000E-01  8.72630255E-02  5.71896887E-01
3.52390000E-01  1.99626873E-01  1.42361159E-01
3.52897000E-01  1.47904200E-01  1.44665293E+00
3.53403000E-01  2.03268398E-02  9.46542900E-02
3.53910000E-01  1.06708057E-01  4.98285796E-02
3.54416000E-01  9.71756407E-02  6.09959251E-02
3.54923000E-01  7.32175016E-02  9.38974000E-02
3.55429000E-01  1.12617034E-01  6.22099317E-02
3.55935000E-01  1.65327481E-02  6.25366243E-02
3.56442000E-01  1.63458290E-01  5.72907884E-02
3.56948000E-01  9.60096150E-02  4.27425171E-02
3.57455000E-01  -1.13854703E-02  9.53201734E-02
3.57961000E-01  3.21959771E-02  1.30976299E+00
3.58468000E-01  5.37184982E-02  7.87876410E-02
3.58974000E-01  2.76585605E-02  6.87573342E-02
3.59481000E-01  5.46138576E-02  7.88250603E-02
3.59987000E-01  5.92720396E-02  7.26048802E-02
3.60494000E-01  2.94954836E-02  7.29835480E-02
3.61000000E-01  8.19512849E-02  1.24880835E+00
3.61506000E-01  9.20743542E-02  6.30182893E-02
3.62013000E-01  1.08562037E-01  1.42569791E-01
3.62519000E-01  2.01841130E-01  6.46013552E-02
3.63026000E-01  5.10813166E-02  7.59929624E-02
3.63532000E-01  7.36975076E-02  6.31114145E-02
3.64039000E-01  3.65439275E-02  2.47363967E-01
3.64545000E-01  6.91615560E-02  5.88295228E-02
3.65052000E-01  3.35967737E-02  6.91806654E-02
3.65558000E-01  2.15658949E-01  1.12299080E-01
3.66064000E-01  7.52788866E-02  6.26459085E-02
3.66571000E-01  4.26196613E-02  2.48537119E-01
3.67077000E-01  1.03629589E-02  1.20344570E-01
3.67584000E-01  2.70997091E-02  8.93139033E-02
3.68090000E-01  1.04033625E-01  6.14420391E-02
3.68597000E-01  1.11687763E-02  8.23850953E-02
3.69103000E-01  -1.15976844E-02  7.33280405E-02
3.69610000E-01  1.26992776E-01  8.84066988E-02
3.70116000E-01  4.34237074E-02  5.82295660E-02
3.70622000E-01  1.37173575E-01  5.88415220E-02
3.71129000E-01  7.92772829E-02  6.75951196E-02
3.71635000E-01  -3.79056703E-03  6.27481188E-02
3.72142000E-01  1.34831637E-01  6.02935951E-02
3.72648000E-01  1.70747299E-01  8.82272079E-02
3.73155000E-01  9.23134878E-02  6.30976031E-02
3.73661000E-01  6.54184305E-02  6.07546395E-02
3.74167000E-01  9.42293528E-02  6.80058588E-02
3.74674000E-01  1.23016671E-01  6.70540220E-02
3.75180000E-01  9.96854775E-02  5.10301990E-02
3.75687000E-01  1.43496134E-01  6.03637371E-02
3.76193000E-01  1.81742183E-01  7.86718517E-02
3.76700000E-01  1.41475530E-01  7.00156732E-02
3.77206000E-01  7.85339095E-02  1.77987825E-01
3.77712000E-01  -1.53159858E-02  7.73232308E-02
3.78219000E-01  4.79680948E-02  6.41094373E-02
3.78725000E-01  3.60531468E-02  6.64028407E-02
3.79232000E-01  9.79481521E-02  8.02697195E-02
3.79738000E-01  8.97630666E-02  1.08373210E-01
3.80245000E-01  6.84652821E-02  6.70765800E-02
3.80751000E-01  6.63367221E-03  1.55599468E-01
3.81257000E-01  8.93847239E-02  7.74024519E-02
3.81764000E-01  4.73194042E-02  6.62245562E-02
3.82270000E-01  1.20478622E-01  5.52698895E-02
3.82777000E-01  1.52699423E-01  7.79991981E-02
3.83283000E-01  -1.51970475E-02  6.55179359E-02
3.83789000E-01  2.72728658E-02  6.13359083E-02
3.84296000E-01  1.82454270E-01  1.65879198E-01
3.84802000E-01  1.04617505E-01  5.79756587E-02
3.85309000E-01  8.88748163E-02  6.80781144E-02
3.85815000E-01  1.04250886E-01  9.74304931E-02
3.86321000E-01  1.13051383E-01  7.61585868E-02
3.86828000E-01  9.81486109E-02  5.76272123E-02
3.87334000E-01  1.36252188E-01  6.73205037E-02
3.87841000E-01  4.83321377E-02  6.86571128E-02
3.88347000E-01  2.48567029E-02  6.44192910E-02
3.88853000E-01  6.26103556E-02  5.55277679E-02
3.89360000E-01  9.98196068E-02  8.52371666E-02
3.89866000E-01  6.83024658E-02  1.02551176E-01
3.90373000E-01  4.12972915E-02  1.05756016E-01
3.90879000E-01  -4.52835744E-02  6.50565499E-02
3.91385000E-01  6.24359920E-02  6.46885381E-02
3.91892000E-01  7.96873828E-02  7.43404465E-02
3.92398000E-01  1.94119989E-01  7.32883303E-02
3.92905000E-01  1.37924657E-01  7.08668438E-02
3.93411000E-01  2.93926953E-02  7.63677660E-02
3.93917000E-01  1.06029555E-01  8.72436623E-02
3.94424000E-01  1.39536370E-01  6.43087221E-02
3.94930000E-01  5.86201810E-02  1.29258687E-01
3.95437000E-01  1.31333006E-01  7.20888432E-02
3.95943000E-01  3.67426525E-03  7.26469444E-02
3.96449000E-01  4.96293190E-02  1.17379633E-01
3.96956000E-01  1.36213126E-01  5.94864890E-01
3.97462000E-01  1.81545373E-01  8.47350904E-02
3.97969000E-01  1.19176443E-01  2.64782790E-01
3.98475000E-01  -2.42006193E-02  6.95783098E-02
3.98981000E-01  1.15303133E-01  1.21180131E-01
3.99488000E-01  1.65532627E-01  5.73954510E-02
3.99994000E-01  7.18866933E-02  7.79821072E-02
4.00500000E-01  4.25284386E-02  7.68656098E-02
4.01007000E-01  1.53325680E-01  7.74087271E-02
4.01513000E-01  1.18834103E-01  1.00440636E-01
4.02020000E-01  1.29652346E-02  6.87011845E-02
4.02526000E-01  8.24935969E-02  1.12396111E-01
4.03032000E-01  1.62731550E-01  9.54031116E-02
4.03539000E-01  4.57983725E-02  9.81768161E-02
4.04045000E-01  9.69389358E-03  7.98085114E-02
4.04551000E-01  3.92267330E-02  8.22315763E-02
4.05058000E-01  1.12932179E-01  1.41607666E-01
4.05564000E-01  1.43571858E-01  1.97610808E+01
4.06071000E-01  1.55022444E-01  8.05662159E-02
4.06577000E-01  1.01368655E-01  1.26280304E-01
4.07083000E-01  1.64435659E-02  2.33010777E-01
4.07590000E-01  -3.18346242E-02  8.73832257E-02
4.08096000E-01  -4.57134719E-03  8.33380302E-02
4.08602000E-01  9.53178816E-02  8.55162270E-02
4.09109000E-01  1.61514117E-01  8.34990402E-02
4.09615000E-01  4.11951193E-02  1.27672314E-01
4.10121000E-01  1.77403052E-01  8.01934884E-02
4.10628000E-01  9.09354641E-02  8.35424429E-02
4.11134000E-01  9.16800776E-02  8.58841216E-02
4.11641000E-01  1.84525672E-01  3.36809576E+00
4.12147000E-01  1.13993914E-01  9.17428403E-02
4.12653000E-01  3.18220379E-02  2.96672653E-01
4.13160000E-01  6.75703863E-02  1.14113939E-01
4.13666000E-01  2.62079877E-01  8.66990468E-02
4.14172000E-01  1.23285460E-01  7.93208778E-02
4.14679000E-01  2.50382077E-01  1.17073997E-01
4.15185000E-01  2.57569230E-01  1.46527412E-01
4.15691000E-01  1.59581528E-01  8.34839412E-02
4.16198000E-01  1.23194924E-02  9.72683074E-02
4.16704000E-01  9.85036054E-02  1.00673740E-01
4.17210000E-01  1.44087415E-02  9.71096357E-02
4.17717000E-01  5.86700687E-02  1.04956376E-01
4.18223000E-01  5.16206656E-02  9.09322101E-02
4.18729000E-01  5.23791711E-03  6.20463240E-01
4.19236000E-01  7.96661746E-02  8.72689475E-02
4.19742000E-01  5.86302923E-02  9.31808905E-02
4.20248000E-01  1.12335748E-01  1.13292125E-01
4.20755000E-01  2.67869341E-01  1.17931232E-01
4.21261000E-01  7.02580900E-02  9.72104791E-02
4.21767000E-01  -3.24669776E-02  2.81998124E+00
4.22274000E-01  4.55187241E-02  1.15784835E-01
4.22780000E-01  1.23169209E-01  1.14045402E-01
4.23286000E-01  1.53618515E-01  1.37130812E-01
4.23793000E-01  1.10630256E-01  1.61225290E-01
4.24299000E-01  -5.41530131E-03  1.73870905E+00
4.24805000E-01  1.16013853E-01  8.07569346E-02
4.25312000E-01  7.36473776E-02  1.18877549E-01
4.25818000E-01  1.40013034E-01  9.60751851E-02
4.26324000E-01  2.96451104E-02  8.96204811E-02
4.26831000E-01  2.07081496E-01  3.32067672E-01
4.27337000E-01  -1.23770391E-01  2.11494953E-01
4.27843000E-01  1.67582077E-01  2.38912057E-01
4.28350000E-01  -3.94966941E-02  1.52700398E+00
4.28856000E-01  -3.67129265E-03  1.01485400E-01
4.29362000E-01  3.21547431E-02  1.39274426E-01
4.29869000E-01  5.23253436E-02  9.62471554E-02
4.30375000E-01  -1.08296865E-02  1.20587736E-01
4.30881000E-01  1.17266010E-01  1.06266464E-01
4.31388000E-01  -4.36391870E-02  1.82292495E-01
4.31894000E-01  1.53838376E-01  1.80246884E-01
4.32400000E-01  -1.04600963E-01  9.37777219E-02
4.32907000E-01  8.98015180E-02  1.14712440E-01
4.33413000E-01  1.19085191E-01  4.06943247E-01
4.33919000E-01  -5.16875466E-03  1.83802632E-01
4.34425000E-01  1.59867277E-01  1.62520641E-01
4.34932000E-01  2.58758806E-01  1.20038411E-01
4.35438000E-01  5.40076261E-02  1.28716945E-01
4.35944000E-01  4.83655858E-02  1.09235116E-01
4.36451000E-01  8.25682885E-02  2.97103481E-01
4.36957000E-01  2.61241705E-01  1.31171497E-01
4.37463000E-01  2.47285844E-02  1.39815813E-01
4.37970000E-01  3.46127029E-01  2.03869274E-01
4.38476000E-01  -1.19505771E-01  1.70001439E-01
4.38982000E-01  3.53064106E-02  2.29738133E-01
4.39489000E-01  1.39189162E-02  1.20504503E-01
4.39995000E-01  1.70526008E-01  1.15859625E-01
4.40501000E-01  2.62925080E-01  1.37536005E-01
4.41007000E-01  8.07802511E-02  1.33155418E-01
4.41514000E-01  1.38537975E-01  8.94102881E-02
4.42020000E-01  2.00335309E-01  2.16536511E+00
4.42526000E-01  7.37982238E-02  2.22543208E-01
4.43033000E-01  1.97518931E-01  1.25124986E-01
4.43539000E-01  1.30422257E-01  1.24748259E-01
4.44045000E-01  2.22513001E-02  1.83052229E-01
4.44551000E-01  1.77169404E-01  1.55932181E-01
4.45058000E-01  5.80225557E-02  1.19545147E-01
4.45564000E-01  -6.56937024E-02  1.45470283E-01
4.46070000E-01  1.11734578E-01  1.91164815E-01
4.46577000E-01  1.65930680E-02  1.81690081E-01
4.47083000E-01  3.16029808E-01  1.41947887E-01
4.47589000E-01  3.62453117E-01  1.53892045E-01
4.48095000E-01  2.16220673E-01  1.85418565E-01
4.48602000E-01  6.46541750E-02  1.54507349E-01
4.49108000E-01  1.83003473E-02  1.55668183E-01
4.49614000E-01  1.26753010E-01  2.74981118E-01
4.50121000E-01  1.52291572E-01  1.83805327E-01
4.50627000E-01  -2.98739114E-01  3.56386164E-01
4.51133000E-01  9.11227575E-02  1.96346143E+00
4.51639000E-01  -2.11317170E-03  6.96680409E-01
4.52146000E-01  -4.69525850E-02  2.24643487E-01
4.52652000E-01  -9.49341456E-02  2.09356856E-01
4.53158000E-01  -7.20203435E-02  4.13743614E-01
4.53664000E-01  -1.37232300E-01  1.54089125E-01
4.54171000E-01  2.17033115E-01  1.86859836E-01
4.54677000E-01  1.01858086E-01  1.96810818E-01
4.55183000E-01  3.19787487E-01  2.11040866E-01
4.55689000E-01  3.18005339E-01  1.60122317E-01
4.56196000E-01  1.78232546E-01  2.28480386E-01
4.56702000E-01  7.11437942E-02  2.28455240E-01
4.57208000E-01  -2.21474938E-01  2.67154019E-01
4.57714000E-01  3.08765123E-01  3.82215978E-01
4.58221000E-01  1.51521713E-01  2.63846549E-01
4.58727000E-01  1.07591825E-01  6.02480917E-01
4.59233000E-01  8.56482786E-02  2.86671528E-01
4.59740000E-01  -1.23246203E-01  2.66699659E-01
4.60246000E-01  -6.51134574E-02  2.85737095E-01
4.60752000E-01  -3.72852257E-02  3.06564608E-01
4.61258000E-01  5.12853770E-02  3.86608289E-01
4.61765000E-01  -1.21662826E-01  2.90851632E-01
4.62271000E-01  -1.14690988E-01  3.20051186E-01
4.62777000E-01  -1.45126644E-01  3.84249108E-01
4.63283000E-01  8.91846794E-02  3.58833889E-01
4.63789000E-01  3.18431188E-01  4.57911256E-01
4.64296000E-01  -1.54957004E-01  6.36369993E-01
4.64802000E-01  -4.02282148E-02  6.08092324E-01
4.65308000E-01  -2.26388276E-01  5.63633752E-01
4.65814000E-01  2.85585428E-01  6.70905944E-01
4.66321000E-01  4.13280462E-01  6.99819472E-01
4.66827000E-01  -1.59997093E-01  7.35107567E-01
4.67333000E-01  2.35053633E-01  1.08798807E+00
4.67839000E-01  2.65410095E-01  1.96203868E+00
4.68346000E-01  -7.14887699E-01  1.86905895E+00
4.68852000E-01  3.42928526E-01  8.02948900E-01
4.69358000E-01  1.07903655E+00  7.35801069E+00
4.69864000E-01  9.42076996E-01  1.20550732E+00
4.70371000E-01  1.90576470E+00  2.06662143E+01
4.70877000E-01  1.01766117E+00  3.08270080E+00
4.71383000E-01  1.45005668E+00  4.26108088E+00
4.71889000E-01  4.02979150E+00  1.94956930E+01
4.72395000E-01  -2.28836044E-01  2.46092016E+00
4.72902000E-01  3.22995095E+00  1.73415338E+01


### HEADER:
#
#{
#    "analysis": {},
#    "counters": {
#        "comment": ""
#    },
#    "filename": "A_S_GluRS_1_5.dat",
#    "history": {
#        "averaged_files": [
#            [
#                "S_GluRS_1_00376.dat",
#                {
#                    "baseline_correction": {
#                        "initial_file": [
#                            "S_GluRS_1_00376.dat",
#                            {
#                                "subtraction": {
#                                    "initial_file": [
#                                        "GluRS_1_00376.dat"
#                                    ],
#                                    "subtracted_file": [
#                                        "A_GluRS_1_00291.dat",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "GluRS_1_00291.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00292.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00293.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00294.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00295.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00296.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00297.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00298.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00299.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00300.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00301.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00302.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00303.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00304.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00305.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00306.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00307.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00308.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00309.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00310.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00311.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00312.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00313.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00314.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00315.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00316.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00317.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00318.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00319.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00320.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00321.dat"
#                                                ]
#                                            ]
#                                        }
#                                    ]
#                                }
#                            }
#                        ],
#                        "type": "Linear"
#                    }
#                }
#            ],
#            [
#                "S_GluRS_1_00377.dat",
#                {
#                    "baseline_correction": {
#                        "initial_file": [
#                            "S_GluRS_1_00377.dat",
#                            {
#                                "subtraction": {
#                                    "initial_file": [
#                                        "GluRS_1_00377.dat"
#                                    ],
#                                    "subtracted_file": [
#                                        "A_GluRS_1_00291.dat",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "GluRS_1_00291.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00292.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00293.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00294.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00295.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00296.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00297.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00298.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00299.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00300.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00301.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00302.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00303.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00304.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00305.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00306.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00307.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00308.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00309.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00310.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00311.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00312.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00313.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00314.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00315.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00316.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00317.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00318.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00319.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00320.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00321.dat"
#                                                ]
#                                            ]
#                                        }
#                                    ]
#                                }
#                            }
#                        ],
#                        "type": "Linear"
#                    }
#                }
#            ],
#            [
#                "S_GluRS_1_00378.dat",
#                {
#                    "baseline_correction": {
#                        "initial_file": [
#                            "S_GluRS_1_00378.dat",
#                            {
#                                "subtraction": {
#                                    "initial_file": [
#                                        "GluRS_1_00378.dat"
#                                    ],
#                                    "subtracted_file": [
#                                        "A_GluRS_1_00291.dat",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "GluRS_1_00291.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00292.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00293.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00294.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00295.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00296.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00297.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00298.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00299.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00300.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00301.dat"
#                                                ],
#                                                [
#                                                    "GluRS_1_00302.dat"
#                                                ],
#                                                [
